author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ИНСИТИ девелопмент;developer;https://krasnodar.cian.ru/sale/flat/308023443/;Химки};sale;flat;13;24;1;44.38;6512038;;;;;Микрорайон Любимово
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308931688/;Химки};sale;flat;5;6;1;35.0;10100000;Адлерский;переулок Демократический;4;;
ID 120593210;homeowner;https://kaliningrad.cian.ru/sale/flat/306128381/;Химки};sale;flat;14;14;1;61.6;8300000;Ленинградский; 9 Апреля;102;;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298221123/;Химки};sale;flat;25;25;1;37.2;7861500;Чкаловский; 8 Марта;204Д;Чкаловская;Ботаника LIFE
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308226210/;Химки};sale;flat;4;6;1;37.0;14560000;Адлерский;Веселая ;82/1;;Green Sail Park
ID 96941193;homeowner;https://novosibirsk.cian.ru/sale/flat/308112551/;Химки};sale;flat;3;10;1;34.3;4199000;Ленинский;Троллейная ;7;Площадь Маркса;
Неометрия;developer;https://krasnodar.cian.ru/sale/flat/308339502/;Химки};sale;flat;21;22;1;34.4;5105550;Прикубанский; Конгрессная;43;;Отражение
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/247945326/;Химки};sale;flat;23;26;1;37.0;10000000;Центральный;Пластунская ;123Ак2;;Раз Два Три
Виктория Грудько;realtor;https://www.cian.ru/sale/flat/308153896/;Химки};sale;flat;4;8;1;33.0;12800000;Теплый Стан;Профсоюзная ;136К4;Коньково;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/303395042/;Химки};sale;flat;2;25;1;30.4;6288000;Орджоникидзевский;;;Машиностроителей;Основинские кварталы ЖК
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/308830155/;Химки};sale;flat;6;10;1;31.7;7340000;Хостинский; Мацестинская;17/1;;
Евгений Шумилов;realtor;https://spb.cian.ru/sale/flat/305907207/;Химки};sale;flat;16;28;1;33.0;7199000;Выборгский;Заречная ;11к6;Парнас;Три апельсина
DOGMA;developer;https://krasnodar.cian.ru/sale/flat/305421053/;Химки};sale;flat;2;18;1;38.3;5162840;;;;;Парк Победы - 2
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Химки};sale;flat;22;32;1;37.35;17780000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Химки};sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298221157/;Химки};sale;flat;3;9;1;55.0;18788500;Центр; Михаила Ананьева;;Динамо;Клубный дом инженера Ятеса
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/304113286/;Химки};sale;flat;8;10;1;28.0;10350000;Адлерский; Ленина;280А;;
Rich Life;real_estate_agent;https://yaroslavl.cian.ru/sale/flat/305867178/;Химки};sale;flat;3;10;1;36.2;2900000;Дзержинский; Панина;56;;
Средастрой Новороссийск;developer;https://novorossiysk.cian.ru/sale/flat/307130635/;Химки};sale;flat;6;17;1;42.93;8800650;;;;;Золотой берег 2
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Химки};sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/299789842/;Химки};sale;flat;9;9;1;36.9;8850000;Люблино; Верхние Поля;27С2;Братиславская;
ПАРК АВЕНЮ;developer;https://krasnodar.cian.ru/sale/flat/307199106/;Химки};sale;flat;3;6;1;33.4;4575800;Горячий Ключ; Ярославского;100В;;Ярославский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Химки};sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Химки};sale;flat;13;14;1;39.0;17600000;Таганский;переулок Ковров;1;Москва-Товарная;
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/306667447/;Химки};sale;flat;3;17;1;36.4;5470000;д. Патрушева; Лермонтова;8;;ЖР 
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/301916019/;Химки};sale;flat;3;5;1;40.6;23900000;Центральный; Крымская;;;Livingston
SaFri;real_estate_agent;https://spb.cian.ru/sale/flat/308830127/;Химки};sale;flat;8;9;1;43.7;18135500;Петроградский;Петровский проспект;24к3;Крестовский остров;Петровская ривьера
Эталон;developer;https://ekb.cian.ru/sale/flat/308413983/;Химки};sale;flat;3;16;1;35.8;5634818;Чкаловский;;;Ботаническая;Жилой район Солнечный
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Химки};sale;flat;6;17;1;43.4;19100000;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308849289/;Химки};sale;flat;3;5;1;32.7;23960000;Замоскворечье;Новокузнецкая ;;Павелецкая;
R1 Development;developer;https://ekb.cian.ru/sale/flat/303900221/;Химки};sale;flat;2;8;1;42.64;7763465;Орджоникидзевский; Уральских Рабочих;26;Проспект Космонавтов;Банников Дом
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Химки};sale;flat;18;22;1;43.0;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ID 104154272;homeowner;https://nn.cian.ru/sale/flat/301079102/;Химки};sale;flat;1;2;1;25.3;3099000;Автозаводский;Коломенская ;7;Парк культуры;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/307111842/;Химки};sale;flat;4;19;1;31.8;8840400;Советский;;3;Горки;Светлая Долина ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Химки};sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Гранд Хаус;real_estate_agent;https://spb.cian.ru/sale/flat/300843403/;Химки};sale;flat;14;16;1;36.0;6900000;Невский; Коллонтай;19К4;Проспект Большевиков;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/304437884/;Химки};sale;flat;18;19;1;30.8;5380200;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308179200/;Химки};sale;flat;3;6;1;47.3;18120000;Адлерский;Веселая ;82/1Б;;Green Sail Park
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Химки};sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/299893563/;Химки};sale;flat;3;9;1;39.02;17986269;Массандра пгт; Мухина;17А;;Клубный дом Массандра Парк
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Химки};sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
Флагман;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307815594/;Химки};sale;flat;9;16;1;39.0;5200000;Прикубанский; Летчика Позднякова;2;;Дыхание
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303547548/;Химки};sale;flat;2;17;1;35.78;8766100;Советский;ПК1-2;ПК1-2;Горки;Мой Ритм ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308159418/;Химки};sale;flat;3;6;1;52.0;20360000;Адлерский;Веселая ;82/1Б;;Green Sail Park
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Химки};sale;flat;3;17;1;38.0;13700000;Свиблово;Вересковая ;1К1;Свиблово;
AVA;developer;https://krasnodar.cian.ru/sale/flat/303889085/;Химки};sale;flat;2;12;1;41.6;6647680;мкр. 9-й километр; Ярославская;115к2;;Небо
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/307869945/;Химки};sale;flat;19;25;1;36.3;5300000;; Яганова;9;Щёлковская;Пехра
ID 563049;homeowner;https://krasnodar.cian.ru/sale/flat/308450193/;Химки};sale;flat;6;25;1;36.5;3850000;мкр. Славянский; Заполярная;39к8;;
НВМ;representative_developer;https://krasnodar.cian.ru/sale/flat/308001539/;Химки};sale;flat;5;7;1;42.7;5978000;;;;;История 2
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/306785132/;Химки};sale;flat;3;20;1;47.3;6499999;; Чистопольская;28;Щёлковская;Эдельвейс-Комфорт
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/308144280/;Химки};sale;flat;7;9;1;30.2;5200000;Кировский; Стойкости;7;Ленинский проспект;
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609050/;Химки};sale;flat;2;22;1;49.7;9825690;мкр. Аврора; Имени Дзержинского;95;;AVrorA
ID 15065491;homeowner;https://krasnodar.cian.ru/sale/flat/307426390/;Химки};sale;flat;7;14;1;48.0;5250000;мкр. Комсомольский;Сормовская ;181;;
ПИК;developer;https://vladivostok.cian.ru/sale/flat/304311878/;Химки};sale;flat;2;24;1;33.9;5639434;Первореченский;;2;;Снежный парк ЖК
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/297792239/;Химки};sale;flat;14;17;1;39.0;16000000;Хостинский; Депутатская;10Дк1;;
ЕОН Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/307325534/;Химки};sale;flat;3;5;1;27.7;4100000;Колпинский;Павловская ;76;Шушары;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/302688605/;Химки};sale;flat;2;4;1;34.7;3921100;;;;;ДзенПарк
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Химки};sale;flat;4;15;1;53.36;13950000;; Татьянин Парк;16к1;Говорово;
НДВ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302968129/;Химки};sale;flat;1;4;1;36.3;5450000;д. Аксаково; Слободская;4;;Федоскинская слобода
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303122639/;Химки};sale;flat;2;9;1;67.3;22222460;Советский;;;Суконная слобода;Мифы ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Химки};sale;flat;5;6;1;43.0;26900000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
MR Group;developer;https://www.cian.ru/sale/flat/308802713/;Химки};sale;flat;2;46;1;34.8;16375836;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609577/;Химки};sale;flat;2;16;1;40.0;5280000;;;;;Зеленодар
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042655/;Химки};sale;flat;30;79;1;78.0;92880000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Елена Гореликова;realtor;https://khimki.cian.ru/sale/flat/305791922/;Химки};sale;flat;13;15;1;26.8;5500000;Велтон Парк Новая Сходня мкр; Беговая;12;;Wellton Park Новая Сходня
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298037403/;Химки};sale;flat;20;25;1;31.2;4525200;; Бочкарева;;Чкаловская;Старт
Евгений Белокуров;realtor;https://www.cian.ru/sale/flat/306602662/;Химки};sale;flat;4;23;1;41.8;20850000;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307819904/;Химки};sale;flat;3;17;1;38.7;13400000;Северное Медведково;Полярная ;52К1;Медведково;
Неометрия;developer;https://sochi.cian.ru/sale/flat/308286114/;Химки};sale;flat;11;17;1;21.0;9905700;Адлерский;;;;Лестория
ID 102818507;homeowner;https://odintsovo.cian.ru/sale/flat/301776016/;Химки};sale;flat;33;33;1;44.1;8700000;Новоивановское рп;Можайское шоссе;55;;Западные Ворота Столицы
КАПИТАЛ;real_estate_agent;https://spb.cian.ru/sale/flat/303753408/;Химки};sale;flat;6;13;1;41.2;12400000;Московский;Кузнецовская ;58к3;Парк Победы;
ИНАЧЕ;developer;https://krasnodar.cian.ru/sale/flat/300885544/;Химки};sale;flat;2;18;1;35.72;5414020;;;;;Иначе в Молодежном
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308187046/;Химки};sale;flat;6;8;1;58.3;25652000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
Андрей Вдовин;realtor;https://www.cian.ru/sale/flat/278701200/;Химки};sale;flat;2;15;1;31.9;11758286;Хорошевский;Ходынский бульвар;2;ЦСКА;Лайнер
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842102/;Химки};sale;flat;4;5;1;40.17;14461200;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
Эрмитаж Галерея Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/306286389/;Химки};sale;flat;15;18;1;49.8;13600000;Приморский;Яхтенная ;3к2;Беговая;Золотая гавань
